Iteration                Wall_Time                Samples                  Train_Return             Test_Return              State_Mean               State_Std                Goal_Mean                Goal_Std                 r_fail                   r_succ                   r_min                    r_max                    Reward                   Exp_Rate                 Exp_Noise                Exp_Temp                 Critic_Loss              Critic_Stepsize          Actor_Loss               Actor_Stepsize           Clip_Frac                Adv_Mean                 Adv_Std                  
0                        0.0035280410448710123    4132                     3.332936548291779        3.833887635859801        0.1898519444086733       1.1788399039492043       0                        0                        0.0                      1.0                      0.0                      1.0                      0.3057837974493449       0.99994995               0.05                     0.09997119305402163      0.11948144251170258      0.01                     0.33756071602304777      2.5e-06                  0.4770833333333333       -7.30439                 4.1730037                
400                      1.5331967502832413       1679947                  10.737239209653758       27.095150626315515       0.28340957745133954      1.273349511140083        0                        0                        0.0                      1.0                      0.0                      1.0                      0.835168836328249        0.9790023625             0.05                     0.08861472748643194      0.00450080828886712      0.01                     0.2527694993186742       2.5e-06                  0.177978515625           -0.07867211              1.0500419                
800                      3.066074844068951        3359588                  11.355000057567565       34.58517781335338        0.28340957745133954      1.273349511140083        0                        0                        0.0                      1.0                      0.0                      1.0                      0.6156935412471827       0.9580068500000001       0.05000000000000001      0.07852665984512651      0.0026570474528853083    0.01                     0.2565346278715879       2.5e-06                  0.163818359375           0.017308574              0.6003695                
1200                     4.59678948243459         5022601                  12.229943378528649       39.03909730710399        0.28340957745133954      1.273349511140083        0                        0                        0.0                      1.0                      0.0                      1.0                      0.7773949487839429       0.9372189750000001       0.05000000000000001      0.06967026100007852      0.0030684876055602217    0.01                     0.22671439964324236      2.5e-06                  0.1796875                -0.1105545               0.904662                 
1600                     6.155601432588365        6686973                  13.055907974816114       52.30351274610876        0.28340957745133954      1.273349511140083        0                        0                        0.0                      1.0                      0.0                      1.0                      0.8141677233905462       0.9164146375             0.05                     0.06180684765322153      0.002302957550455176     0.01                     0.24767658323980868      2.5e-06                  0.223876953125           -0.012123185             0.5449199                
2000                     7.713367294669151        8346562                  14.366665978204736       91.6990796671088         0.28340957745133954      1.273349511140083        0                        0                        0.0                      1.0                      0.0                      1.0                      0.8784042054048498       0.8956698750000001       0.05000000000000001      0.05484975442771154      0.0017306328491031309    0.01                     0.24754912126809359      2.5e-06                  0.17431640625            -0.011937241             0.62473863               
2400                     9.296158026191923        10012483                 16.525126744234278       161.7508179499985        0.28340957745133954      1.273349511140083        0                        0                        0.0                      1.0                      0.0                      1.0                      0.8161783449982818       0.8748450625             0.05                     0.04865333963796407      0.0033466843560745474    0.01                     0.23629032960161567      2.5e-06                  0.1552734375             -0.07206913              0.8426987                
2800                     10.8919816312525         11676942                 20.2065622985452         170.51626477011087       0.28340957745133954      1.273349511140083        0                        0                        0.0                      1.0                      0.0                      1.0                      0.7156395277106247       0.854039575              0.05                     0.043161739325555566     0.0022816644495833316    0.01                     0.2507003906648606       2.5e-06                  0.17626953125            -0.11298513              0.70561105               
3200                     12.508515585462252       13343996                 26.64103655431116        274.1386026092963        0.28340957745133954      1.273349511140083        0                        0                        0.0                      1.0                      0.0                      1.0                      0.7923383628159237       0.83320175               0.05                     0.03828285998398918      0.0031752875902384403    0.01                     0.25148813566192985      2.5e-06                  0.1982421875             -0.26342303              1.0960058                
3600                     14.14449025226964        15010126                 34.64957138100236        262.60071920752364       0.28340957745133954      1.273349511140083        0                        0                        0.0                      1.0                      0.0                      1.0                      0.7953690536167344       0.812375675              0.05                     0.03395777195663497      0.003353504438564414     0.01                     0.2398446851875633       2.5e-06                  0.168701171875           0.15038991               0.6092002                
4000                     15.79997521267997        16678351                 45.53547256163785        346.0252410672043        0.28340957745133954      1.273349511140083        0                        0                        0.0                      1.0                      0.0                      1.0                      0.8942287583751306       0.7915236125             0.05                     0.030116814310104514     0.004927044970613411     0.01                     0.23598270644159877      2.5e-06                  0.16911764705882354      -0.032308683             1.018461                 
4400                     17.473771792054176       18351715                 58.157863437670976       292.06391665636744       0.28340957745133954      1.273349511140083        0                        0                        0.0                      1.0                      0.0                      1.0                      0.7917890147929642       0.7706055624999999       0.049999999999999996     0.02670016260546432      0.0033088299678638577    0.01                     0.2483468211721629       2.5e-06                  0.15673828125            0.040563677              0.81783515               
4800                     19.161486298773024       20030361                 57.086536906000205       302.2680798678865        0.28340957745133954      1.273349511140083        0                        0                        0.0                      1.0                      0.0                      1.0                      0.6992370043289086       0.749622825              0.05                     0.02366230579083408      0.004162394946701276     0.01                     0.24699896311058717      2.5e-06                  0.20955882352941177      -0.104670964             0.89382696               
5200                     20.858391173150803       21710202                 106.16232478086154       332.30508111949644       0.28340957745133954      1.273349511140083        0                        0                        0.0                      1.0                      0.0                      1.0                      0.7351620193564781       0.728629475              0.05                     0.020968805314769794     0.0037433790017126333    0.01                     0.2491947290384107       2.5e-06                  0.2068142361111111       0.39201403               0.69720185               
5600                     22.56867606951131        23399720                 105.54916089574328       354.8365904763857        0.28340957745133954      1.273349511140083        0                        0                        0.0                      1.0                      0.0                      1.0                      0.8584934727478403       0.7075104                0.05                     0.018568464855262035     0.003620869406457881     0.01                     0.26212403331609335      2.5e-06                  0.19393382352941177      0.35002095               0.70047736               
6000                     24.29162470413579        25099288                 168.58072089799427       451.9489257019303        0.28340957745133954      1.273349511140083        0                        0                        0.0                      1.0                      0.0                      1.0                      0.7904712853803062       0.686267825              0.05                     0.016431210616362636     0.0040033108839691665    0.01                     0.24002149779545634      2.5e-06                  0.19058388157894737      0.13112248               0.73631763               
6400                     26.02681983636485        26810682                 191.05433755991623       498.92252277655246       0.28340957745133954      1.273349511140083        0                        0                        0.0                      1.0                      0.0                      1.0                      0.7125641171902223       0.6648779125             0.05                     0.01452763036302775      0.0039586497908825746    0.01                     0.24317208775564245      2.5e-06                  0.18338815789473684      -0.3181781               0.9292763                
6800                     27.771473472184606       28529033                 230.0273073617576        523.3062522183812        0.28340957745133954      1.273349511140083        0                        0                        0.0                      1.0                      0.0                      1.0                      0.8523876148431632       0.6434015625             0.05                     0.012838193176987601     0.0052198902412783355    0.01                     0.24445433169603348      2.5e-06                  0.19618055555555558      -0.13006432              1.0757283                
7200                     29.543276688191625       30271936                 362.10513950052973       542.1915373503188        0.28340957745133954      1.273349511140083        0                        0                        0.0                      1.0                      0.0                      1.0                      0.6895881956948036       0.62162505               0.05                     0.011325636664526415     0.004819547999194701     0.01                     0.2520944205639155       2.5e-06                  0.2440557065217391       -0.043886635             0.66470546               
7600                     31.338161263134744       32028591                 386.7993990252155        517.0194895138532        0.28340957745133954      1.273349511140083        0                        0                        0.0                      1.0                      0.0                      1.0                      0.644866808753299        0.5996651875000001       0.05                     0.00998074520440143      0.002651142701829991     0.01                     0.24742750223312113      2.5e-06                  0.23177083333333334      -0.13334084              1.0498681                
8000                     33.130102594627274       33782722                 453.5624357383942        537.8645309184706        0.28340957745133954      1.273349511140083        0                        0                        0.0                      1.0                      0.0                      1.0                      0.7332397263466037       0.5777460750000001       0.05                     0.008797619760007508     0.0016748013731557876    0.01                     0.24580827198530497      2.5e-06                  0.21504934210526316      -0.1679936               0.5806594                
8400                     34.91966895269023        35540446                 481.51936556031137       546.6278519022808        0.28340957745133954      1.273349511140083        0                        0                        0.0                      1.0                      0.0                      1.0                      0.7960461412486639       0.555774525              0.05                     0.007752402492285663     0.0015668993146391585    0.01                     0.24003163960419205      2.5e-06                  0.2197779605263158       0.12637426               0.41839412               
8800                     36.7148223414686         37303642                 486.60626418890024       549.0311993587422        0.28340957745133954      1.273349511140083        0                        0                        0.0                      1.0                      0.0                      1.0                      0.8083466013410898       0.533734575              0.05                     0.006828674903293452     0.0009426071858462436    0.01                     0.242215845733881        2.5e-06                  0.20538651315789475      -0.04798629              0.498788                 
9200                     38.498286652300095       39054671                 484.42259765171525       549.9524288604443        0.28340957745133954      1.273349511140083        0                        0                        0.0                      1.0                      0.0                      1.0                      0.6361094884142772       0.5118467124999999       0.05                     0.0060202812575598395    0.0009266165051437719    0.01                     0.24623193631046697      2.5e-06                  0.2432154605263158       0.061414808              0.42527664               
